StatNam;StatNr;praef;Fangradius;DEN;Gewichtsklasse;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Wiesbaden/Erbenheim;218;1500;500;N;nicht heavy;5;14;36%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;15.7631051565106s
Wiesbaden/Erbenheim;218;1500;1000;D;Alle Gewichtsklassen;255;719;35%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;36.1336124585112s
Wiesbaden/Erbenheim;218;1500;1000;D;heavy;180;280;64%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;35.8350728426207s
Wiesbaden/Erbenheim;218;1500;1000;D;nicht heavy;75;439;17%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;24.3573742841845s
Wiesbaden/Erbenheim;218;1500;1000;E;Alle Gewichtsklassen;121;235;51%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;38.3525947347228s
Wiesbaden/Erbenheim;218;1500;1000;E;heavy;87;96;91%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;38.0542129984052s
Wiesbaden/Erbenheim;218;1500;1000;E;nicht heavy;34;139;24%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;26.5741372673479s
Wiesbaden/Erbenheim;218;1500;1000;N;Alle Gewichtsklassen;49;83;59%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;30.845389970125s
Wiesbaden/Erbenheim;218;1500;1000;N;heavy;40;47;85%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;30.5078236698381s
Wiesbaden/Erbenheim;218;1500;1000;N;nicht heavy;9;36;25%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;19.5834477487725s
Wiesbaden/Erbenheim;218;1500;1500;D;Alle Gewichtsklassen;464;1461;32%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;38.0338984191794s
Wiesbaden/Erbenheim;218;1500;1500;D;heavy;302;495;61%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;37.5833324722766s
Wiesbaden/Erbenheim;218;1500;1500;D;nicht heavy;162;966;17%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;27.9703035071158s
Wiesbaden/Erbenheim;218;1500;1500;E;Alle Gewichtsklassen;181;442;41%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;39.6643984009983s
Wiesbaden/Erbenheim;218;1500;1500;E;heavy;125;146;86%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;39.2313589791811s
Wiesbaden/Erbenheim;218;1500;1500;E;nicht heavy;56;296;19%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;29.4371088869151s
Wiesbaden/Erbenheim;218;1500;1500;N;Alle Gewichtsklassen;76;140;54%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;32.7677343856665s
Wiesbaden/Erbenheim;218;1500;1500;N;heavy;62;73;85%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;32.3248502530542s
Wiesbaden/Erbenheim;218;1500;1500;N;nicht heavy;14;67;21%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;22.6332321011398s
Wiesbaden/Erbenheim;218;1500;2000;D;Alle Gewichtsklassen;569;2220;26%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;38.475446794521s
Wiesbaden/Erbenheim;218;1500;2000;D;heavy;340;609;56%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;37.9415928694313s
Wiesbaden/Erbenheim;218;1500;2000;D;nicht heavy;229;1611;14%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;29.107635096308s
Wiesbaden/Erbenheim;218;1500;2000;E;Alle Gewichtsklassen;219;679;32%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;39.9257821694495s
Wiesbaden/Erbenheim;218;1500;2000;E;heavy;132;170;78%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;39.4073480006923s
Wiesbaden/Erbenheim;218;1500;2000;E;nicht heavy;87;509;17%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;30.4382364828266s
Wiesbaden/Erbenheim;218;1500;2000;N;Alle Gewichtsklassen;81;177;46%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;32.8406803394279s
Wiesbaden/Erbenheim;218;1500;2000;N;heavy;66;84;79%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;32.3889640694877s
Wiesbaden/Erbenheim;218;1500;2000;N;nicht heavy;15;93;16%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;22.7875939017357s
Wiesbaden/Erbenheim;218;1500;2500;D;Alle Gewichtsklassen;1264;8665;15%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;40.2500299024239s
